LED | C_R, P_R | C_G, P_G | C_B, P_B
0,    0,   0,    0,   1,    0,   2
1,    0,   3,    0,   4,    0,   5
2,    0,   6,    0,   7,    0,   8
3,    0,   9,    0,   10,   0,   11
4,    0,   12,   0,   13,   0,   14
5,    0,   15,   1,   0,    1,   1
6,    1,   2,    1,   3,    1,   4
7,    1,   5,    1,   6,    1,   7
8,    1,   8,    1,   9,    1,   10
9,    1,   11,   1,   12,   1,   13
10,   1,   14,   1,   15,   2,   0
11,   2,   1,    2,   2,    2,   3
12,   2,   4,    2,   5,    2,   6
13,   2,   7,    2,   8,    2,   9
14,   2,   10,   2,   11,   2,   12
15,   2,   13,   2,   14,   2,   15
